time,type
00:04:30,Large display
00:04:35,Large display
00:04:40,Large display
00:04:45,Large display
00:04:50,Large display
00:05:15,Large display
00:05:20,Large display
00:05:25,Large display
00:05:30,Large display
00:05:35,Large display
00:05:40,Large display
00:05:45,Large display
00:05:50,Large display
00:05:55,Large display
00:06:00,Large display
00:06:05,Large display
00:06:10,Large display
00:06:15,Large display
00:06:20,Large display
00:06:25,Large display
00:06:30,Large display
00:06:35,Large display
00:06:40,Large display
00:06:45,Large display
00:06:50,Large display
00:06:55,Large display
00:07:00,Large display
00:07:05,Large display
00:07:10,Large display
00:07:15,Large display
00:07:20,Large display
00:07:25,Large display
00:07:30,Large display
00:07:35,Large display
00:07:40,Large display
00:07:45,Large display
00:07:50,Large display
00:07:55,Large display
00:08:00,Large display
00:08:05,Large display
00:08:10,Large display
00:08:15,Large display
00:08:20,Large display
00:08:25,Large display
00:08:30,Large display
00:08:55,Large display
00:09:00,Large display
00:09:05,Large display
00:09:30,Large display
00:09:35,Large display
00:09:40,Large display
00:09:45,Large display
00:09:50,Large display
00:09:55,Large display
00:10:00,Large display
00:10:05,Large display
00:10:10,Large display
00:10:15,Large display
00:10:20,Large display
00:10:25,Large display
00:10:30,Large display
00:10:35,Large display
00:10:40,Large display
00:10:45,Large display
00:10:50,Large display
00:10:55,Large display
00:11:00,Large display
00:11:05,Large display
00:11:10,Large display
00:11:15,Large display
00:11:20,Large display
00:11:25,Large display
00:11:30,Large display
00:11:35,Large display
00:11:40,Large display
00:11:45,Large display
00:12:05,Large display
00:12:10,Large display
00:12:15,Large display
00:12:20,Large display
00:12:25,Large display
00:12:30,Large display
00:12:40,Large display
00:12:45,Large display
00:12:50,Large display
00:13:20,Large display
00:13:25,Large display
00:13:30,Large display
00:13:55,Large display
00:14:00,Large display
00:14:05,Large display
00:14:10,Large display
00:14:15,Large display
00:14:20,Large display
00:16:35,Large display
00:16:40,Large display
00:16:45,Large display
00:16:50,Large display
00:17:05,Large display
00:17:10,Large display
00:17:15,Large display
00:17:20,Large display
00:17:25,Large display
00:17:30,Large display
00:17:35,Large display
00:17:40,Large display
00:17:50,Large display
00:17:55,Large display
00:18:00,Large display
00:18:05,Large display
00:18:10,Large display
00:18:15,Large display
00:18:20,Large display
00:18:25,Large display
00:18:30,Large display
00:18:35,Large display
00:18:40,Large display
00:18:45,Large display
00:18:50,Large display
00:18:55,Large display
00:19:00,Large display
00:19:05,Large display
00:19:10,Large display
00:19:15,Large display
00:19:20,Large display
00:19:25,Large display
00:19:30,Large display
00:19:35,Large display
00:19:40,Large display
00:19:45,Large display
00:19:50,Large display
00:19:55,Large display
00:20:00,Large display
00:20:05,Large display
00:20:10,Large display
00:20:15,Large display
00:20:25,Large display
00:20:30,Large display
00:20:35,Large display
00:20:40,Large display
00:20:45,Large display
00:20:50,Large display
00:20:55,Large display
00:21:00,Large display
00:21:05,Large display
00:21:10,Large display
00:21:15,Large display
00:21:20,Large display
00:21:25,Large display
00:21:30,Large display
00:21:35,Large display
00:21:40,Large display
00:21:45,Large display
00:21:50,Large display
00:21:55,Large display
00:22:00,Large display
00:22:05,Large display
00:22:10,Large display
00:22:15,Large display
00:22:20,Large display
00:22:25,Large display
00:22:30,Large display
00:22:35,Large display
00:22:40,Large display
00:22:45,Large display
00:22:50,Large display
00:22:55,Large display
00:23:00,Large display
00:23:05,Large display
00:23:10,Large display
00:23:15,Large display
00:23:20,Large display
00:23:25,Large display
00:23:30,Large display
00:23:35,Large display
00:23:40,Large display
00:23:45,Large display
00:23:50,Large display
00:23:55,Large display
00:24:00,Large display
00:24:05,Large display
00:24:10,Large display
00:24:15,Large display
00:24:20,Large display
00:25:15,Large display
00:25:20,Large display
00:25:25,Large display
00:25:30,Large display
00:25:35,Large display
00:25:40,Large display
00:25:45,Large display
00:25:50,Large display
00:26:20,Large display
00:26:25,Large display
00:26:30,Large display
00:26:35,Large display
00:26:40,Large display
00:26:45,Large display
00:26:50,Large display
00:26:55,Large display
00:27:00,Large display
00:27:05,Large display
00:27:10,Large display
00:27:15,Large display
00:27:20,Large display
00:27:25,Large display
00:27:30,Large display
00:27:35,Large display
00:27:40,Large display
00:27:45,Large display
00:27:50,Large display
00:27:55,Large display
00:28:00,Large display
00:28:05,Large display
00:28:10,Large display
00:28:15,Large display
00:28:20,Large display
00:28:25,Large display
00:28:30,Large display
00:28:35,Large display
00:28:40,Large display
00:28:45,Large display
00:28:50,Large display
00:28:55,Large display
00:29:00,Large display
00:29:05,Large display
00:29:10,Large display
00:29:15,Large display
00:29:20,Large display
00:29:25,Large display
00:29:30,Large display
00:29:35,Large display
00:29:40,Large display
00:29:45,Large display
00:29:50,Large display
00:30:20,Large display
00:30:25,Large display
